season,home_team_score,visitor_team_score,home_team.id,visitor_team.id,home_team_wins,visitor_team_wins
2018,142,126,1,21,1,0
2018,131,97,12,24,1,0
2018,101,111,15,17,0,1
2018,117,108,2,28,1,0
2018,120,115,9,22,1,0
2018,147,140,10,19,1,0
2018,109,129,13,29,0,1
2018,129,112,25,6,1,0
2018,142,145,11,3,0,1
2018,101,105,7,27,0,1
2018,111,109,28,24,1,0
2018,128,138,21,14,0,1
2018,101,100,30,20,1,0
2018,135,105,8,5,1,0
2018,114,95,4,26,1,0
2018,96,120,12,23,0,1
2018,122,116,2,15,1,0
2018,98,93,9,16,1,0
2018,113,116,18,27,0,1
2018,115,99,29,6,1,0
2018,94,112,13,10,0,1
2018,115,117,22,3,0,1
2018,128,112,25,19,1,0
2018,124,102,8,6,1,0
2018,135,115,4,24,1,0
2018,138,134,11,14,1,0
2018,119,90,28,15,1,0
2018,103,117,5,16,0,1
2018,111,99,12,7,1,0
2018,108,118,22,17,0,1
2018,101,103,9,26,0,1
2018,115,117,23,21,0,1
2018,105,113,1,2,0,1
2018,120,95,12,4,1,0
2018,116,114,18,24,1,0
2018,95,103,27,13,0,1
2018,111,130,14,10,0,1
2018,104,109,29,25,0,1
2018,107,99,2,16,1,0
2018,121,93,23,11,1,0
2018,85,105,15,19,0,1
2018,123,94,3,26,1,0
2018,116,106,17,7,1,0
2018,101,87,30,9,1,0
2018,88,104,6,5,0,1
2018,109,127,20,21,0,1
2018,103,122,1,22,0,1
2018,91,118,24,18,0,1
2018,106,98,7,13,1,0
2018,120,105,28,26,1,0
2018,123,114,21,25,1,0
2018,107,118,15,4,0,1
2018,114,108,29,8,1,0
2018,94,98,19,9,0,1
2018,101,121,5,1,0,1
2018,110,106,12,28,1,0
2018,123,103,2,6,1,0
2018,122,120,23,27,1,0
2018,114,110,3,22,1,0
2018,99,111,16,13,0,1
2018,110,114,20,11,0,1
2018,122,116,21,19,1,0
2018,105,120,14,18,0,1
2018,106,120,24,25,0,1
2018,118,126,30,10,0,1
2018,106,102,29,18,1,0
2018,106,101,7,9,1,0
2018,91,95,22,30,0,1
2018,132,95,8,24,1,0
2018,109,99,3,20,1,0
2018,108,99,17,4,1,0
2018,96,99,15,26,0,1
2018,121,119,11,28,1,0
2018,101,106,5,13,0,1
2018,94,100,6,16,0,1
2018,126,110,8,23,1,0
2018,106,103,15,12,1,0
2018,114,126,19,27,0,1
2018,120,111,25,1,1,0
2018,111,115,2,10,0,1
2018,97,106,20,16,0,1
2018,132,119,27,30,1,0
2018,111,125,18,29,0,1
2018,122,108,13,26,1,0
2018,118,112,21,17,1,0
