id,first_name,last_name,position,height,weight,jersey_number,college,country,draft_year,draft_round,draft_number,team.id,team.conference,team.division,team.city,team.name,team.full_name,team.abbreviation
443,Klay,Thompson,G,6-6,220,11,Washington State,USA,2011,1.0,11.0,10,West,Pacific,Golden State,Warriors,Golden State Warriors,GSW
444,Tristan,Thompson,C-F,6-9,254,13,Texas-Austin,Canada,2011,1.0,4.0,6,East,Central,Cleveland,Cavaliers,Cleveland Cavaliers,CLE
447,Karl-Anthony,Towns,C,7-0,248,32,Kentucky,USA,2015,1.0,1.0,18,West,Northwest,Minnesota,Timberwolves,Minnesota Timberwolves,MIN
450,PJ,Tucker,F,6-5,245,17,Texas,USA,2006,2.0,35.0,13,West,Pacific,LA,Clippers,LA Clippers,LAC
452,Myles,Turner,C-F,6-11,250,33,Texas,USA,2015,1.0,11.0,12,East,Central,Indiana,Pacers,Indiana Pacers,IND
455,Jonas,Valanciunas,C,6-11,265,17,Lietuvos rytas Vilnius,Lithuania,2011,1.0,5.0,19,West,Southwest,New Orleans,Pelicans,New Orleans Pelicans,NOP
457,Jarred,Vanderbilt,F,6-8,214,2,Kentucky,USA,2018,2.0,41.0,14,West,Pacific,Los Angeles,Lakers,Los Angeles Lakers,LAL
460,Nikola,Vucevic,C,6-10,260,9,Southern California,Montenegro,2011,1.0,16.0,5,East,Central,Chicago,Bulls,Chicago Bulls,CHI
462,Moritz,Wagner,C,6-11,245,21,Michigan,Germany,2018,1.0,25.0,22,East,Southeast,Orlando,Magic,Orlando Magic,ORL
464,Lonnie,Walker IV,G,6-4,204,8,Miami,USA,2018,1.0,18.0,3,East,Atlantic,Brooklyn,Nets,Brooklyn Nets,BKN
469,T.J.,Warren,F,6-8,220,24,North Carolina State,USA,2014,1.0,14.0,18,West,Northwest,Minnesota,Timberwolves,Minnesota Timberwolves,MIN
472,Russell,Westbrook,G,6-4,200,0,UCLA,USA,2008,1.0,4.0,13,West,Pacific,LA,Clippers,LA Clippers,LAC
473,Derrick,White,G,6-4,190,9,Colorado,USA,2017,1.0,29.0,2,East,Atlantic,Boston,Celtics,Boston Celtics,BOS
475,Andrew,Wiggins,F-G,6-7,197,22,Kansas,Canada,2014,1.0,1.0,10,West,Pacific,Golden State,Warriors,Golden State Warriors,GSW
476,Robert,Williams III,C-F,6-9,249,35,Texas A&M,USA,2018,1.0,27.0,25,West,Northwest,Portland,Trail Blazers,Portland Trail Blazers,POR
484,D.J.,Wilson,F,6-10,231,23,Michigan,USA,2017,1.0,17.0,23,East,Atlantic,Philadelphia,76ers,Philadelphia 76ers,PHI
487,Delon,Wright,G,6-5,185,4,Utah,USA,2015,1.0,20.0,16,East,Southeast,Miami,Heat,Miami Heat,MIA
489,Thaddeus,Young,F,6-8,225,30,Georgia Tech,USA,2007,1.0,12.0,24,West,Pacific,Phoenix,Suns,Phoenix Suns,PHX
490,Trae,Young,G,6-1,164,11,Oklahoma,USA,2018,1.0,5.0,1,East,Southeast,Atlanta,Hawks,Atlanta Hawks,ATL
491,Cody,Zeller,C,6-11,240,40,Indiana,USA,2013,1.0,4.0,19,West,Southwest,New Orleans,Pelicans,New Orleans Pelicans,NOP
493,Ivica,Zubac,C,7-0,240,40,Mega Basket,Croatia,2016,2.0,32.0,13,West,Pacific,LA,Clippers,LA Clippers,LAC
2148,Thanasis,Antetokounmpo,,6-7,219,43,Panathinaikos,Greece,2014,2.0,51.0,17,East,Central,Milwaukee,Bucks,Milwaukee Bucks,MIL
3089,Gary,Trent Jr.,,6-5,204,33,Duke,USA,2018,2.0,37.0,28,East,Atlantic,Toronto,Raptors,Toronto Raptors,TOR
666400,Nickeil,Alexander-Walker,G,6-5,205,9,Virginia Tech,Canada,2019,1.0,17.0,18,West,Northwest,Minnesota,Timberwolves,Minnesota Timberwolves,MIN
666423,RJ,Barrett,F-G,6-6,214,9,Duke,Canada,2019,1.0,3.0,28,East,Atlantic,Toronto,Raptors,Toronto Raptors,TOR
666429,Darius,Bazley,F,6-9,216,26,Princeton HS (OH),USA,2019,1.0,23.0,29,West,Northwest,Utah,Jazz,Utah Jazz,UTA
666442,Goga,Bitadze,C,6-10,250,35,Mega Basket,Georgia,2019,1.0,18.0,22,East,Southeast,Orlando,Magic,Orlando Magic,ORL
666451,Bol,Bol,C,7-3,220,11,Oregon,Sudan,2019,2.0,44.0,24,West,Pacific,Phoenix,Suns,Phoenix Suns,PHX
666489,Vlatko,Cancar,F,6-8,236,31,San Pablo Burgos,Slovenia,2017,2.0,49.0,8,West,Northwest,Denver,Nuggets,Denver Nuggets,DEN
666505,Brandon,Clarke,F,6-8,215,15,Gonzaga,Canada,2019,1.0,21.0,15,West,Southwest,Memphis,Grizzlies,Memphis Grizzlies,MEM
666508,Nicolas,Claxton,F-C,6-11,215,33,Georgia,USA,2019,2.0,31.0,3,East,Atlantic,Brooklyn,Nets,Brooklyn Nets,BKN
666564,Bruno,Fernando,F,6-9,240,24,Maryland,Angola,2019,2.0,34.0,1,East,Southeast,Atlanta,Hawks,Atlanta Hawks,ATL
666577,Daniel,Gafford,F,6-10,234,21,Arkansas,USA,2019,2.0,38.0,7,West,Southwest,Dallas,Mavericks,Dallas Mavericks,DAL
666581,Darius,Garland,G,6-1,192,10,Vanderbilt,USA,2019,1.0,5.0,6,East,Central,Cleveland,Cavaliers,Cleveland Cavaliers,CLE
666609,Rui,Hachimura,F,6-8,230,28,Gonzaga,Japan,2019,1.0,9.0,14,West,Pacific,Los Angeles,Lakers,Los Angeles Lakers,LAL
666626,Jaxson,Hayes,C,7-0,220,11,Texas,USA,2019,1.0,8.0,14,West,Pacific,Los Angeles,Lakers,Los Angeles Lakers,LAL
